Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
355862,Erasure,Percival Everett,"Everett, Percival",,"=""0786888156""","=""9780786888153""",0,4.17,Hyperion,Paperback,280,2002,2001,,2026/01/07,currently-reading,currently-reading (#1),currently-reading,,,,1,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.36,Ecco,Hardcover,368,2022,2022,,2026/01/02,to-read,to-read (#32),to-read,,,,0,0
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",0,4.15,Flatiron Books,Hardcover,382,2025,2025,,2025/12/30,to-read,to-read (#31),to-read,,,,0,0
198902277,The Wedding People,Alison Espach,"Espach, Alison",,"=""""","=""""",0,4.08,Henry Holt and Company,Hardcover,367,2024,2024,,2025/12/26,to-read,to-read (#30),to-read,,,,0,0
173754979,James,Percival Everett,"Everett, Percival",,"=""0385550367""","=""9780385550369""",0,4.44,Knopf Doubleday,Hardcover,303,2024,2024,,2025/12/26,to-read,to-read (#29),to-read,,,,0,0
37638098,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,"Kocienda, Ken",,"=""1250194466""","=""9781250194466""",0,4.05,St. Martin's Press,Hardcover,264,2018,2018,,2025/12/26,to-read,to-read (#28),to-read,,,,0,0
214151403,Click: How to Make What People Want,Jake Knapp,"Knapp, Jake",John Zeratsky,"=""1668072114""","=""9781668072110""",5,4.11,Avid Reader Press / Simon & Schuster,Hardcover,240,2025,,,2025/12/26,,,read,,,,1,0
206318521,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",0,4.21,Ecco,Hardcover,262,2010,2010,,2025/12/25,to-read,to-read (#27),to-read,,,,0,0
15778,The Art of Looking Sideways,Alan Fletcher,"Fletcher, Alan",,"=""0714834491""","=""9780714834498""",0,4.11,Phaidon Press,Hardcover,533,2001,2001,,2025/07/09,to-read,to-read (#26),to-read,,,,1,0
42611483,Escaping the Build Trap: How Effective Product Management Creates Real Value,Melissa Perri,"Perri, Melissa",,"=""1491973757""","=""9781491973752""",4,4.28,O'Reilly Media,Kindle Edition,199,2018,2018,2025/12/25,2025/03/19,,,read,,,,1,0
220175413,The Invention of Design: A Twentieth-Century History,Maggie Gram,"Gram, Maggie",,"=""1541600630""","=""9781541600638""",0,4.07,Basic Books,Hardcover,336,2025,,,2025/12/23,to-read,to-read (#25),to-read,,,,0,0
25583415,Basic Design and Layout,SWANN A,"A, SWANN",,"=""0714824879""","=""9780714824871""",0,4.00,Phaidon Press,Hardcover,144,1999,1987,,2025/12/19,to-read,to-read (#24),to-read,,,,0,0
134736960,"Basics Typography 02: Using Type by Harkins, Michael (2011) Paperback",Michael Harkins,"Harkins, Michael",,"=""""","=""""",0,3.83,Fairchild Books,Paperback,0,,2011,,2025/12/19,to-read,to-read (#23),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.39,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2025/12/15,to-read,to-read (#22),to-read,,,,0,0
5308,The Pearl,John Steinbeck,"Steinbeck, John",,"=""0142000698""","=""9780142000694""",0,3.57,Penguin Books,Paperback,96,2002,1947,,2025/12/07,to-read,to-read (#21),to-read,,,,0,0
240032296,Design Harder,Erik    Carter,"Carter, Erik",,"=""""","=""9798999412614""",0,4.62,Book Ideas,Hardcover,220,2025,2025,,2025/11/16,to-read,to-read (#20),to-read,,,,0,0
55905028,Navigating Ambiguity: Creating Opportunity in a World of Unknowns (Stanford d.school Library),Andrea Small,"Small, Andrea","Kelly Schmutte, Stanford d.school, Reina Takahashi, Andria Lo","=""1984857967""","=""9781984857965""",0,4.04,Ten Speed Press,Paperback,144,2022,,,2025/11/03,to-read,to-read (#19),to-read,,,,0,0
13383957,Insanely Simple: The Obsession That Drives Apple's Success,Ken Segall,"Segall, Ken",,"=""1591844835""","=""9781591844839""",0,3.91,Portfolio Penguin,Hardcover,240,2012,2012,,2025/10/31,to-read,to-read (#18),to-read,,,,0,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",4,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,2025/10/10,2025/08/19,,,read,,,,1,0
44735,The Elements of Typographic Style,Robert Bringhurst,"Bringhurst, Robert",,"=""0881792063""","=""9780881792065""",0,4.26,Hartley and Marks Publishers,Paperback,352,2004,1992,,2025/10/07,to-read,to-read (#17),to-read,,,,0,0
130730,Universal Principles of Design,William Lidwell,"Lidwell, William","Kritina Holden, Jill Butler","=""1592530079""","=""9781592530076""",0,4.16,Rockport Publishers,Hardcover,216,2003,2003,,2025/10/07,to-read,to-read (#16),to-read,,,,0,0
58046715,Continuous Discovery Habits: Discover Products that Create Customer Value and Business Value,Teresa  Torres,"Torres, Teresa",,"=""1736633309""","=""9781736633304""",0,4.44,Product Talk LLC,Paperback,237,2021,2021,,2025/10/05,to-read,to-read (#15),to-read,,,,0,0
238401123,Product Delight: How to Make Your Product Stand Out with Emotional Connection,Nesrine Changuel,"Changuel, Nesrine",,"=""""","=""9791097710415""",0,4.20,,Kindle Edition,268,2025,,,2025/09/30,to-read,to-read (#14),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",5,4.17,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2025/09/24,2025/01/19,,,read,,,,1,0
12917506,The Making of Prince of Persia,Jordan Mechner,"Mechner, Jordan",,"=""""","=""""",0,4.10,,Kindle Edition,332,2011,2011,,2025/09/21,to-read,to-read (#13),to-read,,,,0,0
232734238,Gaven,Sofie Malmborg,"Malmborg, Sofie",,"=""8702428938""","=""9788702428933""",4,3.00,Gyldendal,Hæftet,267,2025,2025,2025/08/31,2025/08/19,,,read,,,,1,0
217387801,Could Should Might Don't: How We Think About the Future,Nick    Foster,"Foster, Nick",,"=""0374619352""","=""9780374619350""",0,3.90,MCD,Hardcover,352,2025,,,2025/08/20,to-read,to-read (#12),to-read,,,,0,0
77598595,The Manual of Design Fiction,Julian Bleecker,"Bleecker, Julian","Nick    Foster, Fabien Girardin, Nicolas Nova, Israel Viadest, Chris Frey, Patrick Pittman","=""0990563316""","=""9780990563310""",0,4.43,Near Future Laboratory,Hardcover,248,2022,,,2025/08/20,to-read,to-read (#11),to-read,,,,0,0
230900791,"Hey Hafni (Hafni, #2)",Helle Helle,"Helle, Helle",,"=""8743411061""","=""9788743411062""",3,3.94,Gutkind,Paperback,189,2025,2025,2025/08/19,2025/04/21,,,read,,,,1,0
53498295,King Eric: Portrait Of The Artist Who Changed English Football,Wayne Barton,"Barton, Wayne",,"=""1911613529""","=""9781911613527""",0,4.34,Reach Sport,Kindle Edition,312,2020,,,2025/08/05,to-read,to-read (#10),to-read,,,,0,0
207619605,States of Play: How Sportswashing Took Over Football,Miguel Delaney,"Delaney, Miguel",,"=""1399619438""","=""9781399619431""",4,4.29,Seven Dials,Kindle Edition,459,2024,,2025/08/02,2025/05/29,,,read,,,,1,0
5471,Nineteen Eighty-Four,George Orwell,"Orwell, George","Daniel Lagin, Thomas Pynchon, Erich Fromm","=""""","=""""",5,4.20,Plume,Paperback,339,2003,1949,2025/07/26,2025/07/13,,,read,,,,1,0
25173297,Discussing Design: Improving Communication and Collaboration through Critique,Adam Connor,"Connor, Adam",Aaron Irizarry,"=""1491924047""","=""9781491924044""",0,3.85,O'Reilly Media,ebook,150,2015,2015,,2025/07/14,to-read,to-read (#9),to-read,,,,0,0
2784,Ways of Seeing,John Berger,"Berger, John",,"=""0140135154""","=""9780140135152""",5,3.94,Penguin,Paperback,176,1990,1972,,2025/03/28,,,read,,,,1,0
277325,Time and the Art of Living,Robert Grudin,"Grudin, Robert",,"=""0395898315""","=""9780395898314""",0,4.27,Mariner Books,Paperback,208,1997,1982,,2025/06/18,to-read,to-read (#8),to-read,,,,0,0
2307120,How the Mind Works,Steven Pinker,"Pinker, Steven",,"=""0713991305""","=""9780713991307""",0,3.99,ALLEN LANE,Paperback,600,1998,1997,,2025/06/09,to-read,to-read (#7),to-read,,,,0,0
225819184,"Everything is a Prototype: The Secret to Bold Ideas, Bigger Bets, and Creative Breakthroughs",Brendan Kearns,"Kearns, Brendan",,"=""9063697260""","=""9789063697266""",0,4.40,BIS Publishers,Paperback,212,2025,,,2025/06/08,to-read,to-read (#6),to-read,,,,0,0
33798117,Hvis der skulle komme et menneske forbi,Thomas Korsgaard,"Korsgaard, Thomas",,"=""8711453389""","=""9788711453384""",3,3.85,Lindhardt og Ringhof,Paperback,318,2017,2017,2025/05/31,2025/04/21,,,read,,,,1,0
24737268,Badass: Making Users Awesome,Kathy Sierra,"Sierra, Kathy",,"=""1491919019""","=""9781491919019""",0,4.17,O'Reilly Media,Paperback,293,2015,2015,,2025/05/30,to-read,to-read (#5),to-read,,,,0,0
44650844,The Medium is the Message,Marshall McLuhan,"McLuhan, Marshall",Quentin Fiore,"=""""","=""""",3,3.98,Random House,Unknown Binding,159,1967,1967,2025/04/29,2025/03/30,,,read,,,,1,0
61329,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,"Moore, Geoffrey A.",Regis McKenna,"=""0060517123""","=""9780060517120""",0,4.02,HarperBusiness,Paperback,211,2006,2002,,2025/04/23,to-read,to-read (#4),to-read,,,,0,0
